Fecha,Prediccion_NN
2013-04-04,762.94934
2013-04-05,769.4733
2013-04-06,776.28595
2013-04-07,783.0987
2013-04-08,789.9117
2013-04-09,796.72504
2013-04-10,803.5401
2013-04-11,810.3645
2013-04-12,817.18884
2013-04-13,824.01324
2013-04-14,830.83765
2013-04-15,837.6622
2013-04-16,844.48663
2013-04-17,851.31104
2013-04-18,858.13574
2013-04-19,864.9604
2013-04-20,871.785
2013-04-21,878.60944
2013-04-22,885.4338
2013-04-23,892.2581
2013-04-24,899.08057
2013-04-25,905.9029
2013-04-26,912.725
2013-04-27,919.54724
2013-04-28,926.3693
2013-04-29,933.1916
2013-04-30,940.01373
2013-05-01,748.62177
2013-05-02,754.73676
2013-05-03,760.96674
2013-05-04,767.39703
2013-05-05,774.1696
2013-05-06,780.9821
2013-05-07,787.795
2013-05-08,794.6083
2013-05-09,801.4218
2013-05-10,808.2441
2013-05-11,815.06854
2013-05-12,821.8929
2013-05-13,828.7172
2013-05-14,835.5416
2013-05-15,842.36615
2013-05-16,849.19073
2013-05-17,856.015
2013-05-18,862.8398
2013-05-19,869.66425
2013-05-20,876.4889
2013-05-21,883.31323
2013-05-22,890.13763
2013-05-23,896.9608
2013-05-24,903.7831
2013-05-25,910.6053
2013-05-26,917.4274
2013-05-27,924.2497
2013-05-28,931.07184
2013-05-29,937.89404
2013-05-30,944.71625
2013-05-31,951.5384
2013-06-01,752.8205
2013-06-02,758.98737
2013-06-03,765.3475
2013-06-04,772.05304
2013-06-05,778.8657
2013-06-06,785.6784
2013-06-07,792.49146
2013-06-08,799.305
2013-06-09,806.1236
2013-06-10,812.94806
2013-06-11,819.7724
2013-06-12,826.5968
2013-06-13,833.4212
2013-06-14,840.24567
2013-06-15,847.0702
2013-06-16,853.8947
2013-06-17,860.7191
2013-06-18,867.54364
2013-06-19,874.3682
2013-06-20,881.19275
2013-06-21,888.01715
2013-06-22,894.84106
2013-06-23,901.6632
2013-06-24,908.48553
2013-06-25,915.3077
2013-06-26,922.1299
2013-06-27,928.9521
2013-06-28,935.77435
2013-06-29,942.59644
2013-06-30,949.4187
2013-07-01,757.0711
2013-07-02,763.3634
2013-07-03,769.9366
2013-07-04,776.7492
2013-07-05,783.5618
2013-07-06,790.3748
2013-07-07,797.1882
2013-07-08,804.00336
2013-07-09,810.8276
2013-07-10,817.65186
2013-07-11,824.4764
2013-07-12,831.3008
2013-07-13,838.1252
2013-07-14,844.94965
2013-07-15,851.77423
2013-07-16,858.59845
2013-07-17,865.423
2013-07-18,872.2476
2013-07-19,879.0722
2013-07-20,885.89655
2013-07-21,892.7209
2013-07-22,899.54364
2013-07-23,906.3658
2013-07-24,913.1879
2013-07-25,920.0102
2013-07-26,926.83234
2013-07-27,933.65454
2013-07-28,940.4768
2013-07-29,947.299
2013-07-30,954.12115
2013-07-31,960.9433
2013-08-01,761.3807
2013-08-02,767.8472
2013-08-03,774.63275
2013-08-04,781.4454
2013-08-05,788.2581
2013-08-06,795.07135
2013-08-07,801.8851
2013-08-08,808.7071
2013-08-09,815.53156
2013-08-10,822.3559
2013-08-11,829.18036
2013-08-12,836.00476
2013-08-13,842.8291
2013-08-14,849.6537
2013-08-15,856.47797
2013-08-16,863.3023
2013-08-17,870.12695
2013-08-18,876.9515
2013-08-19,883.77594
2013-08-20,890.6004
2013-08-21,897.4238
2013-08-22,904.24603
2013-08-23,911.0682
2013-08-24,917.8905
2013-08-25,924.71265
2013-08-26,931.53485
2013-08-27,938.357
2013-08-28,945.1792
2013-08-29,952.0015
2013-08-30,958.82355
2013-08-31,965.64575
2013-09-01,765.78656
2013-09-02,772.51624
2013-09-03,779.3289
2013-09-04,786.14154
2013-09-05,792.95465
2013-09-06,799.7682
2013-09-07,806.58673
2013-09-08,813.411
2013-09-09,820.2355
2013-09-10,827.05994
2013-09-11,833.8842
2013-09-12,840.7088
2013-09-13,847.5332
2013-09-14,854.3575
2013-09-15,861.1818
2013-09-16,868.00635
2013-09-17,874.8309
2013-09-18,881.6555
2013-09-19,888.4798
2013-09-20,895.304
2013-09-21,902.1263
2013-09-22,908.9485
2013-09-23,915.7707
2013-09-24,922.59296
2013-09-25,929.41516
2013-09-26,936.23737
2013-09-27,943.0596
2013-09-28,949.8818
2013-09-29,956.7039
2013-09-30,963.52606
2013-10-01,770.39984
2013-10-02,777.21246
2013-10-03,784.025
2013-10-04,790.8378
2013-10-05,797.6513
2013-10-06,804.4666
2013-10-07,811.2906
2013-10-08,818.11505
2013-10-09,824.93945
2013-10-10,831.76385
2013-10-11,838.5882
2013-10-12,845.4128
2013-10-13,852.2371
2013-10-14,859.0612
2013-10-15,865.8856
2013-10-16,872.71014
2013-10-17,879.5347
2013-10-18,886.3592
2013-10-19,893.18353
2013-10-20,900.00653
2013-10-21,906.8289
2013-10-22,913.65106
2013-10-23,920.4732
2013-10-24,927.29535
2013-10-25,934.1176
2013-10-26,940.93976
2013-10-27,947.7619
2013-10-28,954.58417
2013-10-29,961.4064
2013-10-30,968.22845
2013-10-31,975.05066
2013-11-01,775.09595
2013-11-02,781.90857
2013-11-03,788.7213
2013-11-04,795.5346
2013-11-05,802.3484
2013-11-06,809.1701
2013-11-07,815.99457
2013-11-08,822.8189
2013-11-09,829.6435
2013-11-10,836.46783
2013-11-11,843.2923
2013-11-12,850.1166
2013-11-13,856.94073
2013-11-14,863.76495
2013-11-15,870.58954
2013-11-16,877.4141
2013-11-17,884.23865
2013-11-18,891.06305
